Airline,Duration,stops,class,depature time,arrival time,Price,Season,Source_CMN,Source_IST,Source_PAR,Source_ROM,Destination_CMN,Destination_IST,Destination_PAR,Destination_ROM
9,330.0,1,0,4,0,4641.0,0,0,0,0,1,0,0,1,0
9,535.0,1,0,4,0,5350.8,3,0,1,0,0,0,0,0,1
16,300.0,1,0,2,5,3832.92,1,1,0,0,0,0,0,1,0
4,525.0,1,0,0,5,6415.5,0,0,0,0,1,1,0,0,0
23,470.0,1,1,4,5,1094.73,1,1,0,0,0,0,0,1,0
4,190.0,0,1,0,0,2844.66,1,0,0,1,0,1,0,0,0
29,230.0,0,1,0,0,1471.47,0,0,1,0,0,0,0,1,0
16,510.0,1,0,0,5,3824.73,2,1,0,0,0,0,0,1,0
24,485.0,1,1,0,5,2123.94,3,0,0,1,0,0,1,0,0
21,495.0,1,1,4,2,2268.63,3,1,0,0,0,0,1,0,0
6,295.0,1,0,0,2,4687.41,1,0,0,0,1,0,0,1,0
4,245.0,0,0,0,0,8998.08,1,0,0,1,0,1,0,0,0
16,445.0,1,0,4,2,3985.8,1,0,0,0,1,1,0,0,0
23,560.0,1,1,1,0,1094.73,0,0,0,1,0,1,0,0,0
27,225.0,0,1,4,0,971.88,0,0,0,1,0,0,1,0,0
23,325.0,1,0,0,2,2710.89,1,1,0,0,0,0,0,0,1
23,435.0,1,1,0,3,1015.56,3,1,0,0,0,0,0,0,1
29,275.0,0,1,2,5,3431.61,3,1,0,0,0,0,1,0,0
19,335.0,1,0,2,3,6169.8,2,0,0,1,0,1,0,0,0
9,425.0,1,0,4,0,4722.9,1,0,1,0,0,0,0,1,0
0,470.0,1,1,4,2,2730.0,0,0,1,0,0,0,0,0,1
17,350.0,1,1,2,5,1616.16,1,0,1,0,0,0,0,1,0
19,365.0,1,0,4,0,4477.2,0,0,0,1,0,0,0,0,1
21,200.0,0,1,2,5,1591.59,1,0,0,0,1,1,0,0,0
4,185.0,0,1,4,0,1455.09,2,1,0,0,0,0,0,1,0
21,190.0,0,0,2,5,7029.75,3,0,0,1,0,1,0,0,0
4,210.0,0,1,4,2,2077.53,3,0,0,1,0,0,1,0,0
27,195.0,0,1,0,2,1108.38,3,0,0,1,0,1,0,0,0
29,215.0,0,0,4,0,8506.68,1,0,0,1,0,0,1,0,0
19,415.0,1,0,2,3,6169.8,2,0,0,1,0,1,0,0,0
15,480.0,2,1,2,3,3084.9,2,0,0,0,1,1,0,0,0
27,225.0,0,1,0,0,952.77,1,0,1,0,0,0,0,1,0
12,515.0,1,0,1,0,12907.44,0,0,1,0,0,0,0,1,0
12,570.0,1,1,3,0,6606.6,1,1,0,0,0,0,1,0,0
4,565.0,1,1,1,0,3166.8,1,0,0,0,1,1,0,0,0
29,215.0,0,1,4,0,2915.64,2,0,0,1,0,0,1,0,0
6,315.0,1,0,4,0,3396.12,3,0,0,0,1,0,1,0,0
4,185.0,0,1,0,2,1872.78,0,0,0,1,0,1,0,0,0
4,190.0,0,1,2,5,2140.32,3,0,0,1,0,1,0,0,0
16,320.0,1,1,2,3,1446.9,0,0,0,1,0,0,0,0,1
7,195.0,0,1,2,5,2246.79,2,0,0,1,0,0,1,0,0
22,255.0,1,0,0,2,7815.99,3,0,0,1,0,0,0,0,1
23,360.0,1,1,4,0,2948.4,2,0,0,0,1,1,0,0,0
19,425.0,1,0,3,4,7835.1,0,1,0,0,0,0,0,0,1
21,300.0,0,1,0,0,5615.61,1,0,1,0,0,1,0,0,0
22,250.0,1,0,0,2,4873.05,1,0,0,0,1,0,0,1,0
0,270.0,1,0,4,0,8681.4,0,0,0,0,1,0,1,0,0
19,400.0,1,1,2,3,2866.5,2,0,0,0,1,1,0,0,0
20,205.0,0,1,2,5,1141.14,1,0,0,1,0,0,1,0,0
15,265.0,1,0,4,0,4930.38,3,0,0,1,0,0,0,0,1
18,345.0,1,0,0,2,7906.08,3,0,1,0,0,0,0,0,1
